node,pseudolabel?,label,label_conf
CG15098,Y,GO:0006811@4,0.09259259259259259
CG9572,Y,GO:0048523@4,0.043859649122807015
CG12470,Y,GO:0048522@4,0.0625
CG1873,Y,GO:0002684@4,0.05172413793103448
CG10418,Y,GO:0009966@4,0.04580152671755725
CG2021,Y,GO:0048522@4,0.041666666666666664
CG16747,Y,GO:0048522@4,0.06382978723404255
CG13389,Y,GO:0048523@4,0.06493506493506493
CG1345,Y,GO:0022607@4,0.04878048780487805
CG5252,Y,GO:0002009@4,0.038461538461538464
CG15697,Y,GO:0048523@4,0.06493506493506493
CG3922,Y,GO:0048523@4,0.06493506493506493
CG1910,Y,GO:0048522@4,0.05172413793103448
CG11140,Y,GO:0031323@4,0.08333333333333333
CR42862,Y,GO:0031323@4,0.06593406593406594
CG4617,Y,GO:0048522@4,0.05319148936170213
CG8851,Y,GO:0048522@4,0.056910569105691054
CG14487,Y,GO:0031323@4,0.025210084033613446
CG4046,Y,GO:0048523@4,0.06493506493506493
CG10195,Y,GO:0031323@4,0.06944444444444445
CG17107,Y,GO:0006996@4,0.04395604395604396
CG14715,Y,GO:0009966@4,0.06976744186046512
CG31029,Y,GO:0031323@4,0.07272727272727272
CG15167,Y,GO:0048522@4,0.05
CG1467,Y,GO:0006996@4,0.0784313725490196
CG15848,Y,GO:0006996@4,0.0967741935483871
CG4412,Y,GO:0006996@4,0.08
CG10341,Y,GO:0031323@4,0.05063291139240506
CG7360,Y,GO:0048522@4,0.05333333333333334
CG9184,Y,GO:0031323@4,0.05952380952380952
CG3605,Y,GO:0031323@4,0.03125
CG11482,Y,GO:0048523@4,0.04424778761061947
CG6227,Y,GO:0006996@4,0.037037037037037035
CG1962,Y,GO:0048523@4,0.08771929824561403
CG14410,Y,GO:0060255@4,0.10606060606060606
CG15209,Y,GO:0060255@4,0.08196721311475409
CG17143,Y,GO:0006996@4,0.13636363636363635
CG32809,Y,GO:0048523@4,0.058823529411764705
CG14563,Y,GO:0060255@4,0.11320754716981132
CG17420,Y,GO:0048523@4,0.06493506493506493
CG4759,Y,GO:0048523@4,0.06493506493506493
CG14089,Y,GO:0060255@4,0.031746031746031744
CG3008,Y,GO:0009966@4,0.0625
CG33303,Y,GO:0002009@4,0.05
CG11700,Y,GO:0006996@4,0.06060606060606061
CG10944,Y,GO:0048523@4,0.06493506493506493
CG4422,Y,GO:0048522@4,0.07575757575757576
CG14104,Y,GO:0031323@4,0.04864864864864865
CG4858,Y,GO:0004674@4,0.03571428571428571
CG15445,Y,GO:0009889@4,0.05673758865248227
CG11001,Y,GO:0006796@4,0.0392156862745098
CG2862,Y,GO:0048522@4,0.061224489795918366
CG3281,Y,GO:0048522@4,0.06349206349206349
CG32581,Y,GO:0031323@4,0.053763440860215055
CG8910,Y,GO:0048522@4,0.05714285714285714
CG12227,Y,GO:0051171@4,0.03731343283582089
CG9316,Y,GO:0048522@4,0.04918032786885246
CG14011,Y,GO:0048522@4,0.06818181818181818
CG18789,Y,GO:0036211@4,0.03614457831325301
CG10887,Y,GO:0097435@4,0.05454545454545454
CG1138,Y,GO:0048522@4,0.056818181818181816
CG2925,Y,GO:0060255@4,0.11538461538461539
CG9426,Y,GO:0060255@4,0.06521739130434782
CG1234,Y,GO:0016818@4,0.05128205128205128
CG2173,Y,GO:0016818@4,0.07142857142857142
CG11182,Y,GO:0060255@4,0.052083333333333336
CG9723,Y,GO:0071702@4,0.060240963855421686
CG7622,Y,GO:0048523@4,0.06493506493506493
CG6701,Y,GO:0031323@4,0.07692307692307693
CG15019,Y,GO:0048523@4,0.035175879396984924
CG10423,Y,GO:0048523@4,0.06493506493506493
CG12740,Y,GO:0048523@4,0.06493506493506493
CG16935,Y,GO:0080134@4,0.03968253968253968
CG3402,Y,GO:0009893@4,0.05154639175257732
CG7434,Y,GO:0048523@4,0.06493506493506493
CG14589,Y,GO:0048522@4,0.03015075376884422
CG9159,Y,GO:0031323@4,0.07692307692307693
CG33672,Y,GO:0031323@4,0.046153846153846156
CG6523,Y,GO:0031323@4,0.04424778761061947
CG6905,Y,GO:0090304@4,0.14285714285714285
CG11326,Y,GO:0031323@4,0.056818181818181816
CG17601,Y,GO:0048522@4,0.041666666666666664
CG15576,Y,GO:0009966@4,0.04807692307692308
CG9429,Y,GO:0048522@4,0.05660377358490566
CG1527,Y,GO:0048523@4,0.06493506493506493
CG2168,Y,GO:0048523@4,0.06493506493506493
CG9579,Y,GO:0036211@4,0.046511627906976744
CG10364,Y,GO:0048523@4,0.03763440860215054
CG1678,Y,GO:0048522@4,0.04285714285714286
CG2064,Y,GO:0006811@4,0.05263157894736842
CG11409,N,GO:0007600@4,0.0
CG3560,Y,GO:0051128@4,0.027972027972027972
CG41623,Y,GO:0048522@4,0.03418803418803419
CG9593,Y,GO:0010646@4,0.025423728813559324
CG5770,Y,GO:0060255@4,0.09333333333333334
CG7021,Y,GO:0060255@4,0.109375
CG10194,Y,GO:0006996@4,0.04242424242424243
CG44009,Y,GO:0060255@4,0.043478260869565216
CG8073,Y,GO:0010941@4,0.06557377049180328
CG7939,Y,GO:0048523@4,0.06493506493506493
CG4697,Y,GO:0031323@4,0.03375527426160337
CG8495,Y,GO:0048523@4,0.0684931506849315
CG9922,Y,GO:0009889@4,0.053691275167785234
CG9035,Y,GO:0031323@4,0.08163265306122448
CR42969,Y,GO:0048523@4,0.08333333333333333
CG5359,Y,GO:0048523@4,0.06976744186046512
CG5784,Y,GO:0006325@4,0.08
CG31679,Y,GO:0060255@4,0.05714285714285714
CG6684,Y,GO:0048523@4,0.06493506493506493
CG6846,Y,GO:0048523@4,0.06493506493506493
CG14183,Y,GO:0031323@4,0.05309734513274336
CG18081,Y,GO:0036211@4,0.039473684210526314
CG12775,Y,GO:0048523@4,0.06493506493506493
CG2998,Y,GO:0048523@4,0.06493506493506493
CG8654,Y,GO:0031323@4,0.08064516129032258
CG34354,Y,GO:0031323@4,0.05
CG1655,Y,GO:0048522@4,0.06666666666666667
CG10086,Y,GO:0060255@4,0.06666666666666667
CG9839,Y,GO:0009889@4,0.05517241379310345
CG6456,Y,GO:0036211@4,0.05714285714285714
CG7088,Y,GO:0048523@4,0.043478260869565216
CG10032,Y,GO:0002009@4,0.04054054054054054
CG42517,Y,GO:0031323@4,0.037037037037037035
CG7386,Y,GO:0031323@4,0.09375
CG1821,Y,GO:0048523@4,0.06493506493506493
CG8415,Y,GO:0048523@4,0.05970149253731343
CG6453,Y,GO:0022607@4,0.0625
CG3433,Y,GO:0006996@4,0.046511627906976744
CG5502,Y,GO:0048523@4,0.06060606060606061
CG3668,Y,GO:0016301@4,0.03225806451612903
CG1639,Y,GO:0090304@4,0.10869565217391304
CG1965,Y,GO:0090304@4,0.08
CG12659,Y,GO:0031323@4,0.08333333333333333
CG7625,Y,GO:0043933@4,0.05454545454545454
CG4863,Y,GO:0048523@4,0.06493506493506493
CG7490,Y,GO:0048523@4,0.06493506493506493
CG13373,Y,GO:0048522@4,0.04938271604938271
CG13900,Y,GO:0060255@4,0.09523809523809523
CG10753,Y,GO:0060255@4,0.045454545454545456
CG4924,Y,GO:0090304@4,0.08333333333333333
CG7424,Y,GO:0048523@4,0.06493506493506493
CG10365,Y,GO:0048522@4,0.057692307692307696
CG32264,Y,GO:0060255@4,0.05714285714285714
CG13159,Y,GO:0060429@4,0.03571428571428571
CG17271,Y,GO:0006996@4,0.08108108108108109
CG14534,Y,GO:0048522@4,0.0449438202247191
CG31731,Y,GO:0048522@4,0.03723404255319149
CG6090,Y,GO:0048523@4,0.06493506493506493
CG6510,Y,GO:0048523@4,0.06493506493506493
CG2865,Y,GO:0060429@4,0.046511627906976744
CG8036,Y,GO:0048522@4,0.06451612903225806
CG7127,Y,GO:0031323@4,0.04861111111111111
CG10664,Y,GO:0006996@4,0.1282051282051282
CG9042,Y,GO:0006996@4,0.10638297872340426
CG1092,Y,GO:0048522@4,0.04597701149425287
CG6988,Y,GO:0036211@4,0.06666666666666667
CG3019,Y,GO:0031323@4,0.08860759493670886
CG14380,Y,GO:0022607@4,0.0379746835443038
CG9684,Y,GO:0060255@4,0.06976744186046512
CG10632,Y,GO:0048522@4,0.0625
CG7903,Y,GO:0003723@4,0.06153846153846154
CG9090,Y,GO:0006996@4,0.09259259259259259
CG1100,Y,GO:0006508@4,0.1875
CG5177,Y,GO:0006996@4,0.10638297872340426
CG3180,Y,GO:0048522@4,0.05172413793103448
CG4328,Y,GO:0048522@4,0.05154639175257732
CG6652,Y,GO:0031323@4,0.06349206349206349
CG11905,Y,GO:0048522@4,0.07954545454545454
CG4887,Y,GO:0048522@4,0.05263157894736842
CG6478,Y,GO:0060255@4,0.07692307692307693
CG6891,Y,GO:0007616@4,0.045454545454545456
CG33152,Y,GO:0003677@4,0.042105263157894736
CG7856,Y,GO:0048522@4,0.0625
CG4109,Y,GO:0015031@4,0.0851063829787234
CG9474,Y,GO:0015031@4,0.09523809523809523
CG6683,Y,GO:0048878@4,0.06382978723404255
CG8026,Y,GO:0048522@4,0.08108108108108109
CG10814,Y,GO:0036211@4,0.08163265306122448
CG7977,Y,GO:0048523@4,0.06493506493506493
CG11267,Y,GO:0048522@4,0.07142857142857142
CG9083,Y,GO:0048522@4,0.06493506493506493
CG10470,Y,GO:0031323@4,0.043478260869565216
CG42369,Y,GO:0048522@4,0.03940886699507389
CG13458,Y,GO:0006996@4,0.06382978723404255
CG7029,Y,GO:0048523@4,0.07228915662650602
CG16894,Y,GO:0031323@4,0.0641025641025641
CG2830,Y,GO:0009966@4,0.04310344827586207
CG8351,Y,GO:0002009@4,0.10344827586206896
CG3195,Y,GO:0048523@4,0.06493506493506493
CG8857,Y,GO:0048523@4,0.06493506493506493
CG2943,Y,GO:1901566@4,0.046153846153846156
CG15435,Y,GO:0006996@4,0.09803921568627451
CG3294,Y,GO:0048522@4,0.07575757575757576
CG2852,Y,GO:0048522@4,0.06
CG4111,Y,GO:0048523@4,0.06493506493506493
CG31638,Y,GO:0006996@4,0.06976744186046512
CG1472,Y,GO:0048522@4,0.053763440860215055
